icao,name,callsign,country
LCG,Lignes Aeriennes Congolaises,CONGOLAISE,Democratic Republic of the Congo
LCH,Lynch Flying Service,LYNCH AIR,United States
LCM,Lineas Aereas Comerciales,LINEAS COMERCIALES,Mexico
LCN,Lineas Aereas Canedo LAC,CANEDO,Bolivia
LCO,LAN Cargo,LAN CARGO,Chile
LCR,Libyan Arab Air Cargo,LIBAC,Libya
LCS,RAF Leuchars,LEUCHARS,United Kingdom
LCT,Compania De Actividades Y Servicios De Aviacion,STELLAIR,Spain
LCY,London City Airport Jet Centre,LONDON CITY,United Kingdom
LDA,Lauda Air,LAUDA AIR,Austria
LDE,LADE - Lineas Aereas Del Estado,LADE,Argentina
LDG,Aerolineas Aereas Ejecutivas De Durango,DURANGO,Mexico
LDI,Lauda Air Italy,LAUDA ITALY,Italy
LDL,Aerologic,,Russia
LDN,Al-Donas Airlines,ALDONAS AIR,Nigeria
LDR,Aero Lider,AEROLIDER,Mexico
LEA,Unijet,LEADAIR,France
LEC,Linex,LECA,Central African Republic
LED,Blom Geomatics,SWEEPER,Norway
LEE,Leeming Flying Training Unit,JAVELIN,United Kingdom
LEG,The Army Aviation Heritage Foundation,LEGACY,United States
LEJ,FSH Luftfahrtunternehmen,LEIPZIG FAIR,Germany
LEL,Leonsa De Aviacion,LEONAVIA,Spain
LEM,Aleem,,Egypt
LEN,Lentini Aviation,LENTINI,United States
LEP,Laughlin Express,LAUGHLIN EXPRESS,United States
LER,Linea Aerea de Servicio Ejecutivo Regional,LASER,Venezuela
LET,Aerolineas Ejecutivas,MEXEJECUTIV,Mexico
LEU,Lions-Air,LIONSAIR,Switzerland
LEX,L'Express,LEX,United States
LFA,Air Alfa,,Turkey
LFC,Aero Control Air,LIFE FLIGHT CANADA,Canada
LFE,Luxflight Executive,LUX EXPRESS,Luxembourg
LFI,National Airways Corporation,AEROMED,South Africa
LFL,Executive Air,LIFE FLIGHT,Zimbabwe
LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV,LUFO,Germany
LFP,Alfa Aerospace,ALFA-SPACE,Australia
LFR,Atlantic Airfreight Aviation,LANFREIGHT,Sao Tome and Principe
LFT,Aerolift Company,LIFTCO,Sierra Leone
LGD,Legend Airlines,LEGENDARY,United States
LGL,Luxair,LUXAIR,Luxembourg
LGN,Aerolaguna,AEROLAGUNA,Mexico
LGT,Longtail Aviation,LONGTAIL,Bermuda
LGU,Servicios Aereos Ejecutivos De La Laguna,LAGUNA,Mexico
LGW,Luftfahrtgesellschaft Walter,WALTER,Germany
LHC,London Helicopter Centres,MUSTANG,United Kingdom
LHN,Express One International,LONGHORN,United States
LHR,Al Ahram Aviation,AL AHRAM,Egypt
LHS,Luhansk,ENTERPRISE LUHANSK,Ukraine
LHT,Lufthansa Technik,LUFTHANSA TECHNIK,Germany
LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda
LIB,Ploizeihubschrauberstaffel Hamburg,LIBELLE,Germany
LID,Alidaunia,ALIDA,Italy
LIE,Al-Dawood Air,AL-DAWOOD AIR,Nigeria
LIF,Rocky Mountain Holdings,LIFECARE,United States
LIJ,Lineas Aereas San Jose,LINEAS JOSE,Mexico
LIL,FlyLal,LITHUANIA AIR,Lithuania
LIO,LÍO Flugmennt,,Iceland
LIQ,Lid Air,,Sweden
LIR,Minsk Aircraft Overhaul Plant,LISLINE,Belarus
LIS,Eastern Express,LARISA,Kazakhstan
LIV,Air Livonia,LIVONIA,Estonia
LIX,LionXpress,LIX,Cameroon
LJA,Air Jamahiriya Company,AIR JAMAHIRIYA,Libya
LJJ,Luchsh Airlines ,russian sky,Russia
LJY,L J Aviation,ELJAY,United States
LKA,Lao Capricorn Air,NAKLOA,Lao Peoples Democratic Republic
LKD,Lignes Aeriennes Du Tchad,LATCHAD,Chad
LKE,Lucky Air,LUCKY AIR,China
LKL,Lakeland Aviation,LAKELAND,United States
LKN,Lankair,Lankair,Sri Lanka
LKP,American Aviation,LAKE POWELL,United States
LKR,Laker Airways,LAKER,United States
LKS,Airlink Solutions,AIRLIN,Spain
LKW,Top Sky International,TOPINTER,Indonesia
LKY,Air Solutions,LUCKY,United States
LLA,Servico Leo Lopex,LEO LOPOZ,Mexico
LLB,Lloyd Aereo Boliviano,LLOYDAEREO,Bolivia
LLC,FlyLAL Charters,,Lithuania
LLL,Lao Air Company,LAVIE,Lao Peoples Democratic Republic
LLM,Yamal Airlines,YAMAL,Russia
LLO,Operation Enduring Freedom,APOLLO,Canada
LLR,Alliance Air,ALLIED,India
LLS,Servicios Aereos Estrella,SERVIESTRELLA,Mexico
LMA,Aerolima,AEROLIMA,Mexico
LMC,Linea Aerea Mexicana de Carga,LINEAS DECARGA,Mexico
LME,Lignes Mauritaniennes Air Express,LIMAIR EXPRESS,Mauritania
LMG,South African Air Force,SOUTH AFRICAN,South Africa
LMJ,Masterjet,MASTERJET,Portugal
LMK,Grantex Aviation,LANDMARK,United Kingdom
LML,Alamia Air,ALAMIA AIR,Libya
LMM,LCM AIRLINES,,Russia
LMN,Lineas Aereas Monarca,LINEAS MONARCA,Mexico
LMO,Sky Limo Corporation,SKY LIMO,United States
LMP,Air Plus Argentina,AIR FLIGHT,Argentina
LMR,Lamra,LAMAIR,Sudan
LMS,Lomas Helicopters,LOMAS,United Kingdom
LMT,Almaty Aviation,ALMATY,Kazakhstan
LMU,AlMasria Universal Airlines,ALMASRIA,Egypt
LMX,Aerolineas Mexicanas J S,LINEAS MEXICANAS,Mexico
LMY,Air Almaty,AGLEB,Kazakhstan
LMZ,Air Almaty ZK,ALUNK,Kazakhstan
LNA,Lnair Air Services,ELNAIR,Spain
LNC,LAN Dominica,LANCANA,Dominican Republic
LNE,Aerolane,LAN ECUADOR,Ecuador
LNG,Lockheed Martin Aeronautics Company,LIGHTNING,United States
LNI,Lion Mentari Airlines,LION INTER,Indonesia
LNK,Airlink,LINK,South Africa
LNP,Linea Aerea SAPSA,SAPSA,Chile
LNT,Aerolineas Internacionales,LINEAINT,Mexico
LNX,London Executive Aviation,LONEX,United Kingdom
LOC,Locair,LOCAIR,United States
LOD,Malmoe Air Taxi,LOGIC,Sweden
LOF,Trans States Airlines,WATERSKI,United States
LOG,Logan Air,LOGAN,United Kingdom
LOK,Alok Air,ALOK AIR,Sudan
LOO,LSM Airlines,slowbird,Russia
LOP,Linton-on-Ouse Flying Training Unit,LINTON ON OUSE,United Kingdom
LOR,Leo-Air,LEO CHARTER,South Africa
LOS,Lossiemouth Flying Training Unit,LOSSIE,United Kingdom
LOT,LOT Polish Airlines,POLLOT,Poland
LOU,Air Saint Louis,AIR SAINTLOUIS,Senegal
LOV,London Flight Centre (Stansted),LOVEAIR,United Kingdom
LPA,Pal Aerolineas,LINEASPAL,Mexico
LPC,Alpine Aviation,NETSTAR,South Africa
LPD,UK Royal/HRH Duke of York,LEOPARD,United Kingdom
LPE,LAN Peru,LANPERU,Peru
LPL,Lease-a-Plane International,LEASE-A-PLANE,United States
LPN,Laoag International Airlines,LAOAG AIR,Philippines
LPR,L,LAPA,Argentina
LPV,Air Alps Aviation,ALPAV,Austria
LRA,Little Red Air Service,LITTLE RED,Canada
LRB,L R Airlines,LADY RACINE,Czech Republic
LRC,LACSA,LACSA,Costa Rica
LRD,Laredo Air,LAREDO AIR,United States
LRO,Alrosa-Avia,ALROSA,Russia
LRR,Lorraine Aviation,LORRAINE,France
LRS,SANSA,,Costa Rica
LRT,Lincoln Airlines,,Australia
LRW,Al Rida Airways,AL RIDA,Mauritania
LSA,LANSA,INTERNACIONAL,Dominican Republic
LSC,Los Cedros Aviacion,CEDROS,Chile
LSE,Linea De Aeroservicios,,Chile
LSK,Aurela,AURELA,Lithuania
LSM,Aerobusinessservice,,Russia
LSP,Spectrum Aviation Incorporated,AIR TONY,United Kingdom
LSR,Alsair,ALSAIR,France
LSS,Lone Star Airlines,LONE STAR,United States
LSU,Laus,LAUS AIR,Croatia
LSY,Lindsay Aviation,LINDSAY AIR,United States
LTA,Trans Atlantis,LANTRA,Canada
LTC,LatCharter,LATCHARTER,Latvia
LTD,Southern Airways Express,LIGHTSPEED,United States
LTE,LTE International Airways,FUN JET,Spain
LTF,Lufttaxi Fluggesellschaft,Garfield,Germany
LTI,Aerotaxis Latinoamericanos,LATINO,Mexico
LTL,Benin Littoral Airways,LITTORAL,Benin
LTO,LTU Austria,BILLA TRANSPORT,Austria
LTR,Lufttransport,LUFT TRANSPORT,Norway
LTS,Flight Inspections and Systems,SPECAIR,Russia
LTU,Air Lituanica,LITUANICA,Lithuania
LTW,Luchtvaartmaatschappij Twente,TWENTAIR,Netherlands
LTY,Liberty Airways,,United States
LUC,Alninati Aeronautics,STEF,Switzerland
LUK,LUKoil-Avia,LUKOIL,Russia
LUR,Atlantis European Airways,,Armenia
LUT,Luft Carago,LUGO,South Africa
LUV,Luxembourg Air Rescue,LUX RESCUE,Luxembourg
LUZ,Luzair,LISBON JET,Portugal
LVB,IRS Airlines,SILVERBIRD,Nigeria
LVD,Luftfahrt-Vermietungs-Dienst,AIR SANTE,Austria
LVG,Livingston,LIVINGSTON,Italy
LVN,Aliven,ALIVEN,Italy
LVR,Aviavilsa,AVIAVILSA,Lithuania
LVT,La Valenciana Taxi Aereo,TAXIVALENCIANA,Mexico
LWD,Leisure Air,LEISURE WORLD,United States
LXA,Luxaviation,RED LION,Luxembourg
LXF,Lynx Air International,LYNX FLIGHT,United States
LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau
LXJ,Bombardier Business Jet Solutions,FLEXJET,United States
LXO,Luxor Air,,Egypt
LXP,LAN Express,LANEX,Chile
LXR,Air Luxor,AIRLUXOR,Portugal
LYC,Lynden Air Cargo,LYNDEN,United States
LYD,Lydd Air,LYDDAIR,United Kingdom
LYF,Lithuanian Air Force,LITHUANIAN AIRFORCE,Lithuania
LYM,Key Lime Air,KEY LIME,United States
LYN,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
LYT,Apatas Air,APATAS,Lithuania
LYW,Libyan Airlines,LIBYAN AIRWAYS,Libya
LYX,Lynx Aviation,LYNX AIR,Pakistan
LZA,Lanza Air,AEROLANZA,Spain
LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria
LZP,Air Ban,DOC AIR,Bulgaria
LZR,Air Lazur,LAZUR BEE-GEE,Bulgaria
LZT,Lanzarote Aerocargo,BARAKA,Spain
MAA,MasAir,MAS CARGA,Mexico
MAB,Millardair,MILLARDAIR,Canada
MAC,Malta Air Charter,MALTA CHARTER,Malta
MAD,Maple Air Services,MAPLE AIR,Canada
MAE,Mali Air,MALI AIREXPRESS,Austria
MAF,Mission Aviation Fellowship,MISSI,Indonesia
MAH,Malév,MALEV,Hungary
MAI,Mauritania Airlines International,,Mauritania
MAJ,Majestic Airlines,MAGIC AIR,United States
MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia
MAL,Morningstar Air Express,MORNINGSTAR,Canada
MAM,Aerodromo De La Mancha,AEROMAN,Spain
MAN,Mannion Air Charter,MANNION,United States
MAQ,Mac Aviation,MAC AVIATION,Spain
MAR,March Helicopters,MARCH,United Kingdom
MAS,Malaysia Airlines,MALAYSIAN,Malaysia
MAT,Maine Aviation,MAINE-AV,United States
MAU,Air Mauritius,AIRMAURITIUS,Mauritius
MAV,Maldivo Airlines,Maldivo,Maldives
MAW,Mustique Airways,MUSTIQUE,Barbados
MAX,Max-Aviation,MAX AVIATION,Canada
MAZ,Mines Air Services Zambia,MINES,Zambia
MBA,Avag Air,AVAG AIR,Austria
MBB,Air Manas,AIR MANAS,Kyrgyzstan
MBC,Airjet Exploracao Aerea De Carga,MABECO,Angola
MBE,Martin-Baker,MARTIN,United Kingdom
MBI,Mountain Bird,MOUNTAIN BIRD,United States
MBL,First City Air,FIRST CITY,United Kingdom
MBN,Zambian Airways,ZAMBIANA,Zambia
MBO,Mobil Oil,MOBIL,Canada
MBR,Brazilian Navy Aviation,BRAZILIAN NAVY,Brazil
MBS,Mbach Air,MBACHI AIR,Malawi
MBV,Aeriantur-M,AEREM,Moldova
MCA,MCA Airlines,CALSON,Sweden
MCB,Air Mercia,WESTMID,United Kingdom
MCC,MCC Aviation,DISCOVERY,South Africa
MCD,Air Medical,AIR MED,United Kingdom
MCE,Marshall Aerospace,MARSHALL,United Kingdom
MCF,MAC Fotografica,MAC FOTO,Spain
MCG,SOS Helikoptern Gotland,MEDICOPTER,Sweden
MCH,McAlpine Helicopters,MACLINE,United Kingdom
MCK,Macair Airlines,,Australia
MCL,Medical Aviation Services,MEDIC,United Kingdom
MCM,Heli-Air-Monaco,HELI AIR,Monaco
MCN,Mac Dan Aviation Corporation,MAC DAN,United States
MCO,Aerolineas Marcos,MARCOS,Mexico
MCP,Marcopolo Airways,MARCOPOLO,Afghanistan
MCS,Macedonian Airlines,MACAIR,Greece
MCT,Transportacion Aerea Del Mar De Cortes,TRANS CORTES,Mexico
MCV,MTC Aviacion,MTC AVIACION,Mexico
MCX,Cargo Express,MAURICARGO,Mauritania
MCY,Ambulance Air Africa,MERCY,South Africa
MDA,Mandarin Airlines,Mandarin,Taiwan
MDB,Monde Air Charters,MONDEAIR CARGO,United Kingdom
MDC,Atlantic Aero and Mid-Atlantic Freight,NIGHT SHIP,United States
MDE,Mauritanienne De Transport Aerien,MAURI-TRANS,Mauritania
MDF,Mediterranean Air Freight,MED-FREIGHT,Greece
MDG,Air Madagascar,AIR MADAGASCAR,Madagascar
MDH,Madina Air,MADINA AIR,Libya
MDJ,Jetran Air,JETRAN AIR,Romania
MDL,Mandala Airlines,MANDALA,Indonesia
MDM,Medavia Company,MEDAVIA,Malta
MDN,Mudan Airlines,,Somali Republic
MDO,Domenican Airlines,Domenican,Dominican Republic
MDP,Medallion Air,MEDALS,Romania
MDR,Compania Mexicana De Aeroplanos,AEROPLANOS,Mexico
MDS,McNeely Charter Services,MID-SOUTH,United States
MDT,Sundt Air,MIDNIGHT,Norway
MDV,Moldavian Airlines,MOLDAVIAN,Moldova
MDW,Midway Airlines,MIDWAY,United States
MDX,Aerosud Charter,MEDAIR,South Africa
MDY,Mediterranean Airways,,Egypt
MEA,Middle East Airlines,CEDAR JET,Lebanon
MEC,Mercury Aircourier Service,MERCAIR,United States
MED,Ontario Ministry of Health,MEDICAL,Canada
MEE,Elimediterranea,ELIMEDITERRANEA,Italy
MEF,Air Meridan,EMPENNAGE,Nigeria
MEI,Merlin Airways,AVALON,United States
MEJ,Medjet International,MEDJET,United States
MEK,Med-Trans of Florida,MED-TRANS,United States
MEL,Mega Linhas Aereas,MEGA AIR,Brazil
MEM,Meridian Limited,MERIDIAN CHERRY,Ukraine
MEP,Midwest Airlines,,United States
MER,Methow Aviation,METHOW,United States
MES,Mesaba Airlines,MESABA,United States
MET,Meteorological Research Flight,METMAN,United Kingdom
MEX,Metro Express,EAGLE EXPRESS,United States
MEY,Justair Scandinavia,MELODY,Sweden
MFA,Martyn Fiddler Associates,SEAHORSE,United Kingdom
MFC,Moncton Flying Club,EAST WIND,Canada
MFL,Aero McFly,MCFLY,Mexico
MFR,Midline Air Freight,MIDLINE FREIGHT,United States
MFS,Miller Flying Services,MILLER TIME,United States
MFT,Multiflight,YORKAIR,
MFZ,Mofaz Air,MOFAZ AIR,Malaysia
MGA,MG Aviacion,MAG AVACION,Spain
MGB,Coulson Flying Service,MOCKINGBIRD,United Kingdom
MGE,Asia Pacific Airlines,MAGELLAN,United States
MGG,Elmagal Aviation Services,ELMAGAL,Sudan
MGI,Marghi Air,MARGHI,Nigeria
MGK,Mega,MEGLA,Kazakhstan
MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia
MGM,Transporte Aero MGM,AERO EMM-GEE-EMM,Mexico
MGO,Punto Fa,MANGO,Spain
MGR,Magna Air,MAGNA AIR,Austria
MGS,Aeromagar,AEROMAGAR,Mexico
MGX,Montenegro Airlines,MONTAIR,Montenegro
MHA,Mountain High Aviation,MOUNTAIN HIGH,United States
MHC,Aero Jomacha,AERO JOMACHA,Mexico
MHL,Meridian Airlines,HASSIMAIR,Nigeria
MHN,Manhattan Air,MANHATTAN,United Kingdom
MHS,Air Memphis,AIR MEMPHIS,Egypt
MHU,Air Memphis,MEPHIS UGANDA,Uganda
MIA,Mauria,MAURIA,Mauritania
MIC,Mint Airways,,Spain
MID,Midland Airport Services,,United Kingdom
MIE,Aero Premier De Mexico,AEROPREMIER,Mexico
MIF,Miras,MIRAS,Kazakhstan
MIG,Russian Aircraft Corporation-MiG,MIG AVIA,Russia
MIM,Mimino,MIMINO,Russia
MIR,Miramichi Air Service,MIRAMICHI,Canada
MIS,Midstate Airlines,MIDSTATE,United States
MIT,Flight Line,MATCO,United States
MIZ,Desarrollo Milaz,MILAZ,Mexico
MJB,Magic Blue Airlines,MAGIC BLUE,Netherlands
MJG,Michael Airlines,MJG,Puerto Rico
MJL,Jet Line International,MOLDJET,Moldova
MJM,Eti 2000,ELCO ETI,Italy
MJN,Royal Air Force of Oman,MAJAN,Oman
MJP,Air Majoro,Air Majoro,Peru
MJR,Midamerica Jet,MAJOR,United States
MJT,Mex-Jet,MEJETS,Mexico
MJX,Euroline,GEO-LINE,Georgia
MKA,MK Airline,KRUGER-AIR,Ghana
MKD,MAT Airways,,Macedonia
MKG,Air Mekong,Air Mekong,Vietnam
MKH,Air Marrakech Service,AIR MARRAKECH,Morocco
MKK,Malaya Aviatsia Dona,AEROKEY,Russia
MKL,McCall Aviation,MCCALL,United States
MKN,Mekong Airlines,MEKONG AIRLINES,Cambodia
MKO,Markoss Aviation,GOSHAWK,United Kingdom
MKS,Pimichikamac Air,MIKISEW,Canada
MKU,Island Air (WP),,United States
MKY,Monky Aerotaxis,MONKY,Mexico
MLA,40-Mile Air,MILE-AIR,United States
MLB,Manaf International Airways,MANAF,Burundi
MLC,Malila Airlift,MALILA,Democratic Republic of the Congo
MLD,Air Moldova,AIR MOLDOVA,Moldova
MLE,Moldaeroservice,MOLDAERO,Moldova
MLF,Amal Airlines,AMAL,Djibouti
MLG,Malagasy Airlines,,Madagascar
MLH,Mahalo Air,MAHALO,United States
MLI,Air Mali,AIR MALI,Mali
MLK,Millennium Air,NIGERJET,Nigeria
MLN,Air Madeleine,AIR MADELEINE,Canada
MLO,Servicios Aereos Milenio,MILENIO,Mexico
MLS,Mall Airways,MALL-AIRWAYS,United States
MLU,Zracno Pristaniste Mali Losinj,MALI LOSINJ,Croatia
MLX,Malawi Express,MALAWI EXPRESS,Malawi
MMC,Aermarche,AERMARCHE,Italy
MMD,Air Alsie,MERMAID,Denmark
MMM,Myanmar Airways International,assignment postponed,Myanmar
MMP,AMP Incorporated,AMP-INC,United States
MMR,Musrata Air Transport,MUSRATA AIR,Libya
MMS,SAAD (A320) Limited,MUSAAD AIR,Cayman Islands
MMX,Airmax,PERUMAX,Peru
MMZ,EuroAtlantic Airways,EUROATLANTIC,Portugal
MNA,Merpati Nusantara Airlines,MERPATI,Indonesia
MNB,MNG Airlines,BLACK SEA,Turkey
MNC,MIT Airlines,MUNCIE,Canada
MNE,Aerolineas Amanecer,AEROAMANECER,Mexico
MNG,Aero Mongolia,AERO MONGOLIA,Mongolia
MNH,Monarch Airlines,MONARCH AIR,United States
MNI,Aeromilenio,AEROMIL,Mexico
MNJ,Menajet,MENAJET,Lebanon
MNL,Miniliner,MINILINER,Italy
MNO,Mango,TULCA,South Africa
MNP,Spirit of Manila Airlines,MANILA SKY,Philippines
MNR,Mann Air,TEEMOL,United Kingdom
MNS,Ministic Air,MINISTIC,Canada
MNT,Montserrat Airways,MONTSERRAT,Montserrat
MNV,Mauritanienne Aerienne Et Navale,NAVALE,Mauritania
MNX,Manx Airlines,MANX,United Kingdom
MNY,Mooney Aircraft Corporation,MOONEY FLIGHT,United States
MNZ,Murmansk Aircompany,MURMAN AIR,Russia
MOC,Air Monarch Cargo,MONARCH CARGO,Mexico
MOH,Tigerfly,MOTH,United Kingdom
MON,Monarch Airlines,MONARCH,United Kingdom
MOP,Aeropublicitaria De Angola,PUBLICITARIA,Angola
MOR,Aerolineas De Morelia,AEROMORELIA,Mexico
MOS,Misr Overseas Airways,,Egypt
MOV,VIM Airlines,MOV AIR,Russia
MOW,Mowhawk Airlines,MOHAWK AIR,United States
MPA,Mid-Pacific Airlines,MID PAC,United States
MPC,Mountain Pacific Air,MOUNTAIN PACIFIC,Canada
MPD,Air Plus Comet,RED COMET,Spain
MPE,Canadian North,EMPRESS,Canada
MPH,Martinair,MARTINAIR,Netherlands
MPI,Mosphil Aero,MOSPHIL,Philippines
MPJ,MAP-Management and Planung,MAPJET,Austria
MPL,Master Planner,,United States
MPO,Transportes Aereos Amparo,AMPARO,Mexico
MPR,Empire Aviation Services,,Nigeria
MPS,Metroplis,METRO REGIONAL,Netherlands
MPT,Miapet-Avia,MIAPET,Armenia
MPX,Aeromexpress,AEROMEXPRESS,Mexico
MQT,Air ITM,MUSKETEER,France
MRA,Martinaire,MARTEX,United States
MRD,Meridian Air Cargo,MERIDIAN,United States
MRE,Namibia Commerical Aviation,MED RESCUE,Namibia
MRF,Mauritanienne Air Fret,MAUR-FRET,Mauritania
MRG,MANAG'AIR,MANAG'AIR,France
MRH,Marham Flying Training Unit,MARHAM,United Kingdom
MRI,Servicios Aereos Moritani,MORITANI,Mexico
MRK,Markair,MARKAIR,United States
MRL,Aeromorelos,AEROMORELOS,Mexico
MRM,Aerocharter,MARITIME,Canada
MRN,Missions Gouvernemtales Francaises,MARIANNE,France
MRO,Morrison Flying Service,MORRISON,United States
MRP,Abas,ABAS,Czech Republic
MRR,San Juan Airlines,MARINER,United States
MRS,Marusya Airways,snowball,Russia
MRT,Air Mauritanie,MIKE ROMEO,Mauritania
MRW,Mars RK,AVIAMARS,Ukraine
MRX,Herman's Markair Express,SPEEDMARK,United States
MRZ,Medical Air Rescue Services,MARS,Zimbabwe
MSA,Mistral Air,AIRMERCI,Italy
MSC,Air Cairo,,Egypt
MSE,EgyptAir Express,EGYPTAIR EXPRESS,Egypt
MSF,Max Sea Food,MAXESA,El Salvador
MSG,Servico Aereo Regional,SAR-REGIONAL,Mozambique
MSH,US Marshals Service,MARSHALAIR,United States
MSI,Motor Sich,MOTOR SICH,Ukraine
MSK,Air Sport,AIR SPORT,Bulgaria
MSL,Marsland Aviation,MARSLANDAIR,Sudan
MSM,Aeromas,AEROMAS EXPRESS,Uruguay
MSN,Missionair,MISIONAIR,Spain
MSO,Aerol,MESO AMERICANAS,Mexico
MSP,Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,SEGURIDAD,Costa Rica
MSQ,Meta Linhas A,META,Brazil
MSR,Egyptair,EGYPTAIR,Egypt
MSS,Morris Air Service,WASATCH,United States
MSV,Aero-Kamov,AERAFKAM,Russia
MSW,Master Airways,MASTER AIRWAYS,Serbia
MSX,Egyptair Cargo,EGYPTAIR CARGO,Egypt
MSY,Massey University School of Aviation,MASSEY,New Zealand
MTA,GAK/Mitchell Aero,GAK AVIATION,United States
MTB,Aerotaxis Metropolitanos,AEROMETROPOLIS,Mexico
MTC,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone
MTD,MacKnight Airlines,,Australia
MTE,Aeromet Linea Aerea,AEROMET,Chile
MTF,Interjet,INTERJET,Italy
MTG,Servicios Aereos MTT,,Mexico
MTH,Massachusetts Institute of Technology,RESEARCH,United States
MTI,Monerrey Air Taxi,MONTERREY AIR,Mexico
MTJ,Metrojet,METROJET,Hong Kong SAR of China
MTK,Air Metack,AIRMETACK,Angola
MTL,RAF-Avia,MITAVIA,Latvia
MTN,Mountain Air Cargo,MOUNTAIN,United States
MTO,Manitoulin Air Services,MANITOULIN,Canada
MTP,Island Helicopters,METROCOPTER,United States
MTR,Metroflight,METRO,United States
MTS,Mantrust Asahi Airways,MANTRUST,Indonesia
MTV,Mountain Valley Air Service,MOUNTAIN VALLEY,United States
MTW,Mauritania Airways,MAURITANIA AIRWAYS,Mauritania
MTX,Multi Taxi,MULTITAXI,Mexico
MTY,Air Montegomery,MONTY,United Kingdom
MTZ,Mali Airways,MALI AIRWAYS,Mali
MUA,Murray Air,MURRAY AIR,United States
MUI,Trans Air,MAUI,United States
MUN,Aeromundo Ejecutivo,AEROMUNDO,Mexico
MUR,Aerolinea Muri,MURI,Mexico
MVA,Mississippi Valley Airways,VALAIR,United States
MVD,Kavminvodyavia,AIR MINVODY,Russia
MVG,Moldova,MOLDOVA-STATE,Moldova
MVI,Metro Business Aviation,,United Kingdom
MVK,Helicopter Training & Hire,MAVRIK,United Kingdom
MVL,Mavial Magadan Airlines,Mavial,Russia
MVM,Air Cargo America,PEGASUS,United States
MVN,Marvin Limited,MARVIN,United Kingdom
MVR,Maverick Airways,MAV-AIR,United States
MVY,VIM-Aviaservice,,Russia
MWA,Midwest Airlines (Egypt),,Egypt
MWI,Malaysia Wings,MWI,Malaysia
MWR,Raslan Air Service,RASLAN,Egypt
MWS,Malta Wings,MALTA WINGS,Malta
MWT,Midwest Aviation Division,MIDWEST,United States
MWY,Mauritanienne Airways,MAURITANIENNE,Mauritania
MXA,Mexicana de Aviaci,MEXICANA,Mexico
MXB,Mex Blue,MEX BLUE,Mexico
MXC,Compania Mexicargo,MEXICARGO,Mexico
MXD,Malindo Air,Malindo,Malaysia
MXE,Mocambique Expresso,MOZAMBIQUE EXPRESS,Mozambique
MXI,MexicanaLink,LINK,Mexico
MXJ,Maxjet Airways,MAX-JET,United States
MXL,Maxair,MAXAIR,Sweden
MXO,Aerotaxi Mexicano,MAXAERO,Mexico
MXP,May Air Xpress,BEECHNUT,United States
MXQ,Transportes Aereos Mexiquenses,MEXIQUENSES,Mexico
MXS,Maxsus-Avia,MAXSUS-AVIA,Uzbekistan
MXT,Mexico Transportes Aereos,TRANSMEX,Mexico
MXU,Maximus Air Cargo,CARGO MAX,United Arab Emirates
MXX,Merchant Express Aviation,MERCHANT,Nigeria
MYA,Myflug,MYFLUG,Iceland
MYD,Maya Island Air,MYLAND,Belize
MYI,Mayair,MAYAIR,Mexico
MYO,Dominguez Toledo (Grupo Mayoral),MAYORAL,Spain
MYP,Mann Yadanarpon Airlines,MANN ROYAL,Burma
MYS,Aero Yaqui Mayo,AERO YAQUI,Mexico
MYT,MyTravel Airways,KESTREL,United Kingdom
MYW,My Way Airlines,FRANKY,Italy
MZK,AVC Airlines,,Japan
MZL,Aerovias Montes Azules,MONTES AZULES,Mexico
MZS,Mahfooz Aviation,MAHFOOZ,Gambia
NAA,National Oceanic and Atmospheric Administration,NOAA,United States
NAB,Mina Airline Company,,Egypt
NAC,Northern Air Cargo,YUKON,United States
NAD,Seulawah Nad Air,SEULAWAH,Indonesia
NAE,Nations Air Express Inc,NATIONS EXPRESS,United States
NAF,Royal Netherlands Air Force,NETHERLANDS AIR FORCE,Netherlands
NAH,Nahanni Air Services Ltd,NAHANNI,Canada
NAI,North Adria Aviation,NORTH-ADRIA,Croatia
NAJ,North American Jet Charter Group,JET GROUP,United States
NAK,Arik Niger,,Niger
NAL,Northway Aviation Ltd,NORTHWAY,Canada
NAM,Nortland Air Manitoba,MANITOBA,Canada
NAN,National Airlines,NATION AIR,United States
NAP,Napier Air Service Inc,NAPIER,United States
NAR,Air Continental Inc,NIGHT AIR,United States
NAS,Nasair,NASAIRWAYS,Eritrea
NAT,North Atlantic Air Inc,MASS AIR,United States
NAU,Antanik-Air,ANTANIK,Ukraine
NAV,Nav Flight Planning,NAV DISPATCH,Czech Republic
NAX,Norwegian Air Shuttle,NOR SHUTTLE,Norway
NAY,Navegacion Servicios Aereos Canarios SA,NAYSA,Spain
NAZ,Servicios Aereos del Nazas SA de CV,NAZAS,Mexico
NBE,Novosibirsk Aviaenterprise,NAKAIR,Russia
NBK,Albarka Air,AL-AIR,Nigeria
NBL,Nobil Air,NOBIL AIR,Moldova
